"","subject","sentence","sentence_id","animacy","number","definiteness","tense","aspect","sentence.length","modal","be.have","response"
"423","cow","The cows drank water",1097,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"424","shirt","The shirts are folded",1101,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"425","kite","A kite flew in the wind",1103,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"426","cat","The cats fought outside",1104,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"427","penguin","The penguin sat in the snow ",1105,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"428","pig","The pig ran around the farm",1106,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"429","rabbit","Rabbits ate carrots and lettuce",1108,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"430","piano","The pianos were played",1109,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"431","fox","The foxes jumped over the fence",1110,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"432","cheetah","Cheetahs ran quickly through the wild",1114,"animate","plural","indefinite","past","simple",5,"no","no","generic"
"433","marble","A marble rolled away on the floor",1116,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"434","lamp","The lamps were turned off",1119,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"435","squirrel","The squirrel ate nuts",1120,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"436","trumpet","A trumpet played in the background",1122,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"437","dolphin","Dolphins swam in the ocean",1124,"animate","plural","indefinite","present","simple",4,"no","no","non.generic"
"438","clock","The clocks ticked and tocked",1125,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"439","toilet","A toilet flushed",1127,"inanimate","singular","indefinite","past","simple",1,"no","no","non.generic"
"440","knife","The knife cut through the meat",1128,"inanimate","singular","definite","present","simple",4,"no","no","non.generic"
"441","lion","The lion roared at the other lion",1129,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"442","light bulb","The light bulbs are burned out",1130,"inanimate","plural","definite","present","simple",3,"no","no","non.generic"
"443","pigeon","The pigeon flew away",1133,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"444","computer","The computer screen froze",1137,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"445","dog","The dogs barked and played",1138,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"446","dolphin","The dolphins played at the aquarium.",1139,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"447","pigeon","The pigeon fell out of the sky.",1140,"animate","singular","definite","past","simple",5,"no","no","generic"
"448","football","Footballs are used to have fun.",1141,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"449","turtle","A turtle moved slowly across the grass.",1142,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"450","zipper","A zipper needs to be zipped up.",1143,"inanimate","singular","indefinite","present","simple",5,"no","no","non.generic"
"451","fox","The fox ran after the hound.",1145,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"452","lamp","The lamps burned through the night.",1146,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"453","penguin","The penguins kept warm by hugging.",1147,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"454","chair","Chairs are needed to sit down.",1149,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"455","butterfly","A butterfly flew around the flowers.",1151,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"456","bicycle","The bicycle needed to be repaired.",1152,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"457","cheetah","A cheetah ran fast across the field.",1153,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"458","towel","Towels are used to keep dry.",1155,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"459","toilet","A toilet needs to be flushed.",1158,"inanimate","singular","indefinite","present","simple",4,"no","no","generic"
"460","cow","Cows need to be milked.",1159,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"461","panda","The pandas played at the zoo.",1160,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"462","boat","The boat hit the iceberg.",1166,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"463","skunk","The skunk smelled really bad.",1169,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"464","clock","The clocks hands moved slowly.",1170,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"465","light bulb","A light bulb needs to be replaced.",1171,"inanimate","singular","indefinite","present","simple",4,"no","no","non.generic"
"466","knife","The knife was used to cut vegetables.",1174,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"467","lion","The lions moved in packs.",1175,"animate","plural","definite","past","simple",3,"no","no","generic"
"468","computer","Computers are used to gain information.",1176,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"469","trumpet","The trumpets played loudly at the ceremony.",1178,"inanimate","plural","definite","present","simple",5,"no","no","non.generic"
"470","cat","Cats need to be groomed.",1179,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"471","piano","The pianos played a lovely melody.",1180,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"472","camel","A camel moved slowly across the desert.",1182,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"473","dog","Dogs bark loudly at neighbors.",1183,"animate","plural","indefinite","present","simple",4,"no","no","non.generic"
"474","shark","A shark attacked the boat.",1184,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"475","car","The cars speed up on the highway.",1185,"inanimate","plural","definite","present","simple",5,"no","no","non.generic"
"476","gorilla","A gorilla wanted a banana to eat.",1186,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"477","rabbit","A rabbit ate some carrots.",1187,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"478","owl","Owls screeched.",1189,"animate","plural","indefinite","past","simple",1,"no","no","non.generic"
"479","zipper","Zippers are made of metal.",1191,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"480","lion","The lion roared.",1197,"animate","singular","definite","past","simple",1,"no","no","non.generic"
"481","shirt","A shirt was bought.",1202,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"482","computer","A computer was sold.",1204,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"483","shark","The shark bit a swimmer.",1206,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"484","toilet","A toilet was used.",1208,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"485","towel","Towels were brought in.",1210,"inanimate","plural","indefinite","past","simple",3,"no","no","non.generic"
"486","piano","The piano was displayed.",1211,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"487","guitar","A guitar was played.",1212,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"488","pig","The pig ate mush.",1213,"animate","singular","definite","past","simple",2,"no","no","non.generic"
"489","kite","Kites were flown high.",1214,"inanimate","plural","indefinite","past","simple",3,"no","no","non.generic"
"490","boat","A boat was sailing by.",1216,"inanimate","singular","indefinite","past","simple",3,"no","no","non.generic"
"491","car","The car was parked nearby.",1217,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"492","fox","Foxes were seen.",1218,"animate","plural","indefinite","past","simple",2,"no","no","non.generic"
"493","trumpet","The trumpet was played loudly.",1221,"inanimate","singular","definite","past","simple",3,"no","no","non.generic"
"494","knife","The knife was used during dinner.",1225,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"495","bicycle","The bicycles were stolen.",1226,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"496","squirrel","Squirrels hide in trees.",1227,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"497","dolphin","A dolphin swam in the ocean.",1228,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"498","couch","The couches were imported.",1229,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"499","skunk","A skunk smelled.",1230,"animate","singular","indefinite","past","simple",1,"no","no","non.generic"
"500","cat","The cat jumped on the furniture.",1231,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"501","football","A football was thrown.",1232,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"502","butterfly","Butterflies fly around.",1233,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"503","kangaroo","The kangaroo jumped.",1234,"animate","singular","definite","past","simple",1,"no","no","non.generic"
"504","marble","A marble rolled across the floor. ",1236,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"505","cheetah","The cheetahs lounged in the tall grass.",1248,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"506","elephant","The elephants at the zoo look happy. ",1249,"animate","plural","definite","present","simple",5,"no","no","non.generic"
"507","lion","Lions eat meat.",1251,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"508","dog","The dogs barked at the mailman. ",1257,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"509","cow","A cow grazes peacefully in the field. ",1265,"animate","singular","indefinite","present","simple",5,"no","no","non.generic"
"510","camel","The camel spit on me!",1266,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"511","light bulb","A light bulb burned out in the kitchen. ",1268,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"512","bed","The bed needs to be made.",1270,"inanimate","singular","definite","present","simple",4,"no","no","non.generic"
"513","clock","The clock needs new batteries. ",1277,"inanimate","singular","definite","present","simple",3,"no","no","non.generic"
"514","butterfly","The butterfly likes my rose bushes.",1278,"animate","singular","definite","present","simple",4,"no","no","non.generic"
"515","lamp","The lamps all went out at once.",1282,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"516","pigeon","A pigeon landed on the park bench.",1284,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"517","clock","The clock struck midnight.",1285,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"518","turtle","Turtles make good pets.",1287,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"519","towel","Towels hung from the rack.",1288,"inanimate","plural","indefinite","past","simple",4,"no","no","non.generic"
"520","dog","The dog brought me his ball.",1292,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"521","football","The footballs were used often.",1293,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"522","lion","The lions lazed about.",1294,"animate","plural","definite","past","simple",2,"no","no","non.generic"
"523","fox","The fox sprang away quickly.",1296,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"524","kite","The kites flew high.",1297,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"525","pig","A pig looked at me from afar.",1299,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"526","gorilla","The gorilla beat his chest.",1302,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"527","squirrel","The squirrels climbed the trees.",1303,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"528","guitar","The guitars all sounded great.",1305,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"529","camel","The camel spat at me.",1307,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"530","butterfly","A butterfly landed on my shoulder.",1308,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"531","knife","The knives were sharpened yesterday.",1309,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"532","skunk","The skunks hid in the tall grass.",1310,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"533","cheetah","The cheetah demonstrated its speed.",1311,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"534","zipper","The zipper got stuck on my clothes.",1313,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"535","peacock","The peacocks showed their plumage.",1314,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"536","rabbit","A rabbit regularly eats from my garden.",1317,"animate","singular","indefinite","present","simple",5,"no","no","non.generic"
"537","bicycle","A bicycle passed by on the sidewalk.",1321,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"538","toilet","The toilet overflowed once in a while.",1322,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"539","panda","The pandas seemed playful in the exhibit.",1323,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"540","trumpet","Trumpets blared loudly.",1324,"inanimate","plural","indefinite","past","simple",2,"no","no","non.generic"
"541","light bulb","The light bulb burnt out.",1325,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"542","shark","A shark attacked the beach last week.",1327,"animate","singular","indefinite","past","simple",5,"no","no","non.generic"
"543","computer","The computer refused to turn on.",1328,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"544","tire","The tire Went flat",1330,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"545","kite","Kites Soared above",1331,"inanimate","plural","indefinite","past","simple",2,"no","no","non.generic"
"546","boat","A boat Cruised along the coast",1333,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"547","computer","The computers Do not work",1334,"inanimate","plural","definite","present","simple",3,"no","no","non.generic"
"548","clock","Clocks Tick as time passes ",1335,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"549","light bulb","The light bulb Burnt out",1340,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"550","skunk","A skunk Sprayed his smell",1342,"animate","singular","indefinite","past","simple",3,"no","no","non.generic"
"551","bicycle","The bicycles Needed to be replaced",1343,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"552","lamp","A lamp Needs a bulb",1344,"inanimate","singular","indefinite","present","simple",3,"no","no","generic"
"553","dog","The dog Slept all day",1345,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"554","zipper","The zippers Are stuck",1346,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"555","television","The television Stayed on all night",1347,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"556","chair","The chairs Matched the table",1349,"inanimate","plural","definite","past","simple",3,"no","no","non.generic"
"557","dolphin","The dolphin Jumped out of the water",1350,"animate","singular","definite","past","simple",5,"no","no","non.generic"
"558","shark","The sharks Ate the fish",1351,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"559","towel","Towels Were folded on the counter",1352,"inanimate","plural","indefinite","past","simple",5,"no","no","non.generic"
"560","elephant","The elephant Went to the water",1353,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"561","panda","A panda Ate bamboo",1356,"animate","singular","indefinite","past","simple",2,"no","no","non.generic"
"562","lion","The lions Roared in their cage",1357,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"563","couch","A couch Sagged under weight",1358,"inanimate","singular","indefinite","past","simple",3,"no","no","non.generic"
"564","bear","Bears Ate the honey",1359,"animate","plural","indefinite","past","simple",3,"no","no","non.generic"
"565","football","The footballs We're deflated",1360,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"566","kangaroo","The kangaroo Jumped over the fence",1361,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"567","cheetah","Cheetahs Sprinted up the path",1362,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"568","rabbit","A rabbit Ran quickly",1363,"animate","singular","indefinite","past","simple",2,"no","no","non.generic"
"569","guitar","The guitar Needed tuning",1364,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"570","squirrel","A squirrel Ran up the tree",1365,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"571","pigeon","The pigeons Ate all of the crumbs",1366,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"572","shirt","A shirt Shrunk in the wash",1367,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"573","trumpet","Trumpets Played loudly",1368,"inanimate","plural","indefinite","present","simple",2,"no","no","non.generic"
"574","fox","The fox Ran into the hole",1369,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"575","owl","The owls Hooted from their tree",1371,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"576","butterfly","Butterflies Fluttered around the flowers",1372,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"577","marble","A marble Rolled down",1373,"inanimate","singular","indefinite","past","simple",2,"no","no","non.generic"
"578","cat","The cat Scratched the sofa",1374,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"579","pig","Pigs Snorted in their cage",1376,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"580","car","A car Came to a stop",1377,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"581","towel","Towels are used to dry skin",1378,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"582","dog","A dog in standing by the lake",1381,"animate","singular","indefinite","present","simple",5,"no","no","non.generic"
"583","cow","Cows roam the pature",1387,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"584","shirt","A shirt is used as clothing",1389,"inanimate","singular","indefinite","present","simple",4,"no","no","generic"
"585","fence","A fence surrounds the yard",1405,"inanimate","singular","indefinite","present","simple",3,"no","no","non.generic"
"586","couch","Couches are used to sit on",1408,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"587","zipper","The zippers are broken",1412,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"588","lion","A lion roars from the den.",1426,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"589","knife","Knives are sharpened every day.",1427,"inanimate","plural","indefinite","present","simple",4,"no","no","generic"
"590","fox","The fox is chased by the dogs.",1428,"animate","singular","definite","present","simple",5,"no","no","non.generic"
"591","squirrel","Squirrels hunt for nuts.",1429,"animate","plural","indefinite","present","simple",3,"no","no","generic"
"592","kangaroo","Kangaroos live in the zoo. ",1430,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"593","shirt","The shirt needs to be ironed.",1433,"inanimate","singular","definite","present","simple",4,"no","no","non.generic"
"594","cheetah","Cheetahs yell loudly from the zoo.",1434,"animate","plural","indefinite","present","simple",5,"no","no","generic"
"595","toilet","The toilets are backed up. ",1435,"inanimate","plural","definite","present","simple",3,"no","no","non.generic"
"596","elephant","The elephants move the logs.",1436,"animate","plural","definite","present","simple",3,"no","no","non.generic"
"597","rabbit","A rabbit hunts for food. ",1437,"animate","singular","indefinite","present","simple",3,"no","no","generic"
"598","butterfly","A butterfly flutters around the flowers.",1439,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"599","zipper","The zipper is stuck in the cloth.",1440,"inanimate","singular","definite","present","simple",5,"no","no","non.generic"
"600","tire","Tires last at least 30,000 miles.",1442,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"601","penguin","The penguins live in the Arctic.",1443,"animate","plural","definite","present","simple",4,"no","no","non.generic"
"602","owl","The owl hoots from the tree.",1445,"animate","singular","definite","present","simple",4,"no","no","non.generic"
"603","camel","The camel carries all the supplies.",1446,"animate","singular","definite","present","simple",4,"no","no","non.generic"
"604","cat","The cats want outside to play.",1447,"animate","plural","definite","present","simple",4,"no","no","non.generic"
"605","gorilla","Gorillas swing in tree.",1448,"animate","plural","indefinite","present","simple",3,"no","no","non.generic"
"606","skunk","The skunk smells stinky.",1449,"animate","singular","definite","present","simple",2,"no","no","non.generic"
"607","lamp","A lamp is turned on. ",1450,"inanimate","singular","indefinite","present","simple",3,"no","no","non.generic"
"608","chair","A chair is pushed against the table.",1452,"inanimate","singular","indefinite","present","simple",5,"no","no","non.generic"
"609","turtle","A turtle swims in the pond.",1453,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"610","pigeon","The pigeon hunts for seeds.",1454,"animate","singular","definite","present","simple",3,"no","no","non.generic"
"611","trumpet","A trumpet sounds loudly from the wall.",1457,"inanimate","singular","indefinite","present","simple",5,"no","no","generic"
"612","pig","Pigs smell terrible.",1458,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"613","shark","The sharks turned over the small boat.",1459,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"614","dolphin","The dolphin chatters back from the coastline.",1460,"animate","singular","definite","present","simple",5,"no","no","non.generic"
"615","couch","The couch matches the chair.",1462,"inanimate","singular","definite","present","simple",3,"no","no","non.generic"
"616","boat","The boat came untied at the dock.",1463,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"617","light bulb","The light bulbs are burned out.",1464,"inanimate","plural","definite","present","simple",3,"no","no","non.generic"
"618","clock","Clocks tick loudly on the wall.",1468,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"619","fence","The fences need to be painted.",1469,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"620","dog","A dog chases after the cat.",1471,"animate","singular","indefinite","present","simple",4,"no","no","non.generic"
"621","cow","Cows graze in the pasture.",1472,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"622","penguin","The penguins looked cute in the movie.",1493,"animate","plural","definite","past","simple",5,"no","no","non.generic"
"623","toilet","A toilet is needed in this building.",1504,"inanimate","singular","indefinite","present","simple",5,"no","no","generic"
"624","shirt","The shirt looked very good on him.",1511,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"625","marble","A marble was found on the floor.",1512,"inanimate","singular","indefinite","past","simple",5,"no","no","non.generic"
"626","knife","The knife was found at the scene.",1514,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"627","light bulb","The light bulbs keep flickering on and off.",1516,"inanimate","plural","definite","present","simple",5,"no","no","non.generic"
"628","tire","The tires need to be realliagned.",1529,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"629","clock","The clock is stuck at 3 pm.",1542,"inanimate","singular","definite","present","simple",5,"no","no","non.generic"
"630","bicycle","The bicycles are used as rentals.",1547,"inanimate","plural","definite","present","simple",4,"no","no","non.generic"
"631","fence","A fence makes good neighbors.",1550,"inanimate","singular","indefinite","present","simple",3,"no","no","generic"
"632","dolphin","Dolphins live in the ocean. ",1569,"animate","plural","indefinite","present","simple",4,"no","no","generic"
"633","clock","A clock ticked on the wall. ",1571,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"634","light bulb","The light bulb was blown. ",1573,"inanimate","singular","definite","past","simple",2,"no","no","non.generic"
"635","football","The footballs sat in the closet. ",1575,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"636","cat","The cat slept on the couch. ",1579,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"637","bear","The bear growled at the man. ",1580,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"638","kite","A kite fell from the sky. ",1581,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"639","chair","Chairs surrounded the table. ",1582,"inanimate","plural","indefinite","past","simple",3,"no","no","non.generic"
"640","fox","The fox sneaked through the forest. ",1583,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"641","elephant","An elephant remembers everything. ",1584,"animate","singular","indefinite","present","simple",2,"no","no","generic"
"642","owl","The owls sat in the tree. ",1585,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"643","penguin","The penguins waddled over the ice. ",1586,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"644","butterfly","Butterflies flew through the garden. ",1587,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"645","piano","A piano sat in the corner. ",1588,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"646","trumpet","The trumpets blew loudly. ",1590,"inanimate","plural","definite","past","simple",2,"no","no","non.generic"
"647","computer","A computer can make your life faster. ",1591,"inanimate","singular","indefinite","present","simple",5,"yes","no","generic"
"648","pig","The pig rolled in the mud. ",1593,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"649","lamp","Lamps light up the room. ",1596,"inanimate","plural","indefinite","present","simple",4,"no","no","non.generic"
"650","kangaroo","The kangaroos jumped up the trail. ",1597,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"651","marble","A marble rolled down the hill. ",1598,"inanimate","singular","indefinite","past","simple",4,"no","no","non.generic"
"652","peacock","Peacocks show off their tail feathers. ",1600,"animate","plural","indefinite","present","simple",5,"no","no","generic"
"653","gorilla","A gorilla beat on its chest. ",1601,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"654","car","Cars drove quickly down the highway. ",1602,"inanimate","plural","indefinite","past","simple",5,"no","no","non.generic"
"655","pigeon","A pigeon pooped on my car. ",1604,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"656","cow","The cows grazed in the field. ",1606,"animate","plural","definite","past","simple",4,"no","no","non.generic"
"657","squirrel","A squirrel climbed up the tree. ",1608,"animate","singular","indefinite","past","simple",4,"no","no","non.generic"
"658","boat","The boat sailed through the ocean. ",1610,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"659","dog","Dogs howled at the moon. ",1611,"animate","plural","indefinite","past","simple",4,"no","no","non.generic"
"660","skunk","The skunk sprayed the dog. ",1614,"animate","singular","definite","past","simple",3,"no","no","non.generic"
"661","butterfly","A butterfly can fly.",1617,"animate","singular","indefinite","present","simple",2,"yes","no","generic"
"662","cow","Cows produce milk.",1619,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"663","bear","The bear is upset.",1620,"animate","singular","definite","present","simple",2,"no","no","non.generic"
"664","piano","The pianos sounds good.",1624,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"665","pigeon","The pigeon can fly high.",1626,"animate","singular","definite","present","simple",3,"yes","no","non.generic"
"666","shark","The sharks swim fast.",1628,"animate","plural","definite","present","simple",2,"no","no","non.generic"
"667","cheetah","Cheetahs run fast",1630,"animate","plural","indefinite","present","simple",2,"no","no","generic"
"668","lamp","The lamp is turned on.",1635,"inanimate","singular","definite","present","simple",3,"no","no","non.generic"
"669","car","The cars are parked",1638,"inanimate","plural","definite","present","simple",2,"no","no","non.generic"
"670","dolphin","The dolphin can swim.",1643,"animate","singular","definite","present","simple",2,"yes","no","generic"
"671","kite","The kite can fly high.",1647,"inanimate","singular","definite","present","simple",3,"yes","no","non.generic"
"672","gorilla","The gorilla is mean.",1653,"animate","singular","definite","present","simple",2,"no","no","non.generic"
"673","turtle","The turtles move slow",1655,"animate","plural","definite","present","simple",2,"no","no","non.generic"
"674","football","The footballs can be thrown very far",1663,"inanimate","plural","definite","present","simple",5,"yes","no","generic"
"675","zipper","Zippers always seem to get stuck",1664,"inanimate","plural","indefinite","present","simple",5,"no","no","generic"
"676","camel","A camel stores water in its humps",1665,"animate","singular","indefinite","present","simple",5,"no","no","generic"
"677","pigeon","Pigeons tend to love eating scraps.",1669,"animate","plural","indefinite","present","simple",5,"no","no","generic"
"678","clock","The clock needed to be fixed",1670,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"679","rabbit","The rabbits kept hopping away.",1673,"animate","plural","definite","past","simple",3,"no","no","non.generic"
"680","trumpet","The trumpet sounded like it was broken",1674,"inanimate","singular","definite","past","simple",5,"no","no","non.generic"
"681","knife","The knives needed to be sharpened",1680,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"682","fence","The fence needed to be painted",1683,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"683","car","The cars really looked beautiful and fast.",1684,"inanimate","plural","definite","past","simple",5,"no","no","non.generic"
"684","chair","The chair needed to be fixed",1686,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"685","kangaroo","A kangaroo can jump very high",1687,"animate","singular","indefinite","present","simple",4,"yes","no","generic"
"686","cow","A cow can produce lots of milk",1691,"animate","singular","indefinite","present","simple",5,"yes","no","generic"
"687","guitar","The guitars needed to be tuned",1692,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"688","couch","The couches were torn to shreds.",1695,"inanimate","plural","definite","past","simple",4,"no","no","non.generic"
"689","toilet","The toilet needed a good cleaning",1696,"inanimate","singular","definite","past","simple",4,"no","no","non.generic"
"690","bed","Beds always needed to be comfortable. ",1700,"inanimate","plural","indefinite","past","simple",5,"no","no","generic"
"691","light bulb","A light bulb always seems to go out",1702,"inanimate","singular","indefinite","present","simple",5,"no","no","non.generic"
"692","pig","The pig ate too much slop. ",1704,"animate","singular","definite","past","simple",4,"no","no","non.generic"
"693","cat","A cat always lands on its feet",1705,"animate","singular","indefinite","present","simple",5,"no","no","generic"
"694","squirrel","The squirrels love to eat nuts",1706,"animate","plural","definite","present","simple",4,"no","no","generic"
