WorkerId,SubmitTime,Answer 56,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type,aspect,modal,be_have,sentence_id,sentence_length,original_response
08MO687YGDQ4KP010QKHOPCFDGPIG0,Wed Jan 20 13:33:54 PST 2016,"""English""",inanimate,singular,indefinite,past,lamp,A lamp stood in the corner.,2,2165,52,target,simple,no,no,621,4,non.generic
T7L5UND6MDQUT1IN6XCWNK1O2ZLH6V,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,indefinite,present,gorilla,A gorilla is at the zoo,1,1211,53,target,simple,no,yes,1063,4,non.generic
1NIPK7MROYNM6KVIBJVN7CQDKD8JX4,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,singular,indefinite,present,computer,A computer makes work more efficient.,2,699,54,target,simple,no,no,2368,4,generic
HFX8LMKW1ELKCEBS846BEZGQCPIP7Z,Wed Jan 20 13:34:11 PST 2016,"""english""",inanimate,plural,definite,present,tire,The tires are made of rubber.,2,688,50,target,simple,no,no,2789,4,non.generic
MMWCFF9FZX9BCP9MN96TUW2LVSNA06,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,present,squirrel,The squirrel runs across the campus avoiding cars.,1,1081,33,target,simple,no,no,2168,6,non.generic
HRFJC3HGREAQ3XR7UMDNQ7Q4L0RAUQ,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,past,owl,The owl hooted in the moonlight.,2,1849,39,target,simple,no,no,2327,4,non.generic
K17XJCFZMMNHMDUSMNFAXWITW8DZLP,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,definite,past,elephant,The elephant helped its young out of the water.,2,696,55,target,simple,no,no,1961,7,non.generic
N168N204VXCMIDOGGSQJ6QCRWJGIA1,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,indefinite,past,cow,A cow was tipped over my micheivous children.,2,1944,29,target,simple,no,no,191,6,non.generic
1X5HSZHWVFLT9QEHJ7JG8UK5J00CUR,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,definite,past,camel,The camels were tired,1,1618,28,target,simple,no,no,2967,2,non.generic
YWBOCK9WS7B6KFX3HZA4K167HKP27Y,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,plural,definite,past,rabbit,The rabbits were cooked.,2,666,25,target,simple,no,no,536,2,non.generic
FIQUH4I1A8HVD96XWZ4J3X175MM4G4,Wed Jan 20 13:34:11 PST 2016,"""english""",animate,singular,indefinite,present,cat,A cat meows often,1,1334,24,target,simple,no,no,984,2,generic
